0.4335 0.3834 0.3882 0.3528 0.2842 0.2284
0.5733 0.5122 0.4719 0.4471 0.3996 0.4249
0.7450 0.6550 0.5828 0.4877 0.4897 0.4465
0.8378 0.7684 0.7115 0.5922 0.5192 0.4915
0.8916 0.8364 0.7935 0.6990 0.6248 0.5857
0.9223 0.8783 0.8439 0.7708 0.7173 0.6774
0.9424 0.9062 0.8785 0.8180 0.7738 0.7439
0.9625 0.9357 0.9149 0.8686 0.8368 0.8111
0.9690 0.9462 0.9289 0.8882 0.8607 0.8408
